Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Банишора,134653.98,1987.51,EUR,Двустаен апартамент,2024-07-28
Банкя (гр.),131843.00,1890.84,EUR,Двустаен апартамент,2024-07-28
Белите Брези,249900.00,2108.86,EUR,Двустаен апартамент,2024-07-28
Бенковски,115863.50,1782.52,EUR,Двустаен апартамент,2024-07-28
Борово,135594.22,2148.50,EUR,Двустаен апартамент,2024-07-28
Бояна,170026.34,357.34,EUR,Двустаен апартамент,2024-07-28
Бъкстон,140295.53,1987.52,EUR,Двустаен апартамент,2024-07-28
Витоша,146223.45,1897.09,EUR,Двустаен апартамент,2024-07-28
Гевгелийски,83000.00,1844.44,EUR,Двустаен апартамент,2024-07-28
Гео Милев,194693.33,2929.19,EUR,Двустаен апартамент,2024-07-28
Горна Баня,187999.50,1894.20,EUR,Двустаен апартамент,2024-07-28
Гоце Делчев,156204.50,2255.66,EUR,Двустаен апартамент,2024-07-28
Дианабад,199372.16,2403.19,EUR,Двустаен апартамент,2024-07-28
Драгалевци,174132.61,2164.91,EUR,Двустаен апартамент,2024-07-28
Дружба,99885.34,1664.76,EUR,Двустаен апартамент,2024-07-28
Дружба 1,117773.17,1663.46,EUR,Двустаен апартамент,2024-07-28
Дружба 2,139138.41,1776.07,EUR,Двустаен апартамент,2024-07-28
Дървеница,138438.67,2049.71,EUR,Двустаен апартамент,2024-07-28
Западен Парк,126466.66,2033.23,EUR,Двустаен апартамент,2024-07-28
Захарна Фабрика,102160.00,1755.33,EUR,Двустаен апартамент,2024-07-28
Зона Б18,149445.69,2237.56,EUR,Двустаен апартамент,2024-07-28
Зона Б19,167975.00,2061.04,EUR,Двустаен апартамент,2024-07-28
Зона Б5,180623.75,2521.80,EUR,Двустаен апартамент,2024-07-28
Иван Вазов,341500.00,4985.40,EUR,Двустаен апартамент,2024-07-28
Изгрев,248494.70,3485.20,EUR,Двустаен апартамент,2024-07-28
Изток,229311.25,3241.15,EUR,Двустаен апартамент,2024-07-28
Илинден,120422.11,1928.47,EUR,Двустаен апартамент,2024-07-28
Княжево,141838.50,1854.10,EUR,Двустаен апартамент,2024-07-28
Красна Поляна,104876.26,1724.75,EUR,Двустаен апартамент,2024-07-28
Красно Село,156238.61,1986.68,EUR,Двустаен апартамент,2024-07-28
Кръстова Вада,173593.56,2229.43,EUR,Двустаен апартамент,2024-07-28
Лагера,187518.12,2343.98,EUR,Двустаен апартамент,2024-07-28
Левски,108741.64,1629.96,EUR,Двустаен апартамент,2024-07-28
Левски В,101750.89,1433.11,EUR,Двустаен апартамент,2024-07-28
Левски Г,145000.00,2764.83,EUR,Двустаен апартамент,2024-07-28
Лозенец,226177.34,3041.19,EUR,Двустаен апартамент,2024-07-28
Люлин 1,98500.00,1417.27,EUR,Двустаен апартамент,2024-07-28
Люлин 10,137920.00,1467.23,EUR,Двустаен апартамент,2024-07-28
Люлин 2,105549.72,1537.99,EUR,Двустаен апартамент,2024-07-28
Люлин 3,104458.34,1600.89,EUR,Двустаен апартамент,2024-07-28
Люлин 4,127135.34,1595.84,EUR,Двустаен апартамент,2024-07-28
Люлин 5,99524.34,1442.76,EUR,Двустаен апартамент,2024-07-28
Люлин 6,99289.25,1555.95,EUR,Двустаен апартамент,2024-07-28
Люлин 7,101816.66,1775.87,EUR,Двустаен апартамент,2024-07-28
Люлин 8,108873.11,1552.87,EUR,Двустаен апартамент,2024-07-28
Люлин 9,88328.89,1383.74,EUR,Двустаен апартамент,2024-07-28
Люлин Център,124945.00,1548.41,EUR,Двустаен апартамент,2024-07-28
м-т Гърдова глава,132683.00,1759.72,EUR,Двустаен апартамент,2024-07-28
Малинова Долина,126186.80,1732.87,EUR,Двустаен апартамент,2024-07-28
Малинова долина в.з.,115484.14,1854.10,EUR,Двустаен апартамент,2024-07-28
Манастирски ливади Запад,179153.33,2193.71,EUR,Двустаен апартамент,2024-07-28
Манастирски ливади Изток,174623.45,2354.32,EUR,Двустаен апартамент,2024-07-28
Младост 1,155307.05,2081.86,EUR,Двустаен апартамент,2024-07-28
Младост 1а,183614.28,2367.04,EUR,Двустаен апартамент,2024-07-28
Младост 2,156045.59,2083.39,EUR,Двустаен апартамент,2024-07-28
Младост 3,138098.11,2051.50,EUR,Двустаен апартамент,2024-07-28
Младост 4,128117.33,1835.57,EUR,Двустаен апартамент,2024-07-28
Мотописта,160000.00,1882.35,EUR,Двустаен апартамент,2024-07-28
Мусагеница,157999.80,2401.21,EUR,Двустаен апартамент,2024-07-28
Надежда 1,132884.91,1943.80,EUR,Двустаен апартамент,2024-07-28
Надежда 2,122826.41,1729.95,EUR,Двустаен апартамент,2024-07-28
Надежда 3,120210.00,1658.07,EUR,Двустаен апартамент,2024-07-28
Надежда 4,102698.25,1559.41,EUR,Двустаен апартамент,2024-07-28
Обеля,93620.00,1500.32,EUR,Двустаен апартамент,2024-07-28
Обеля 1,101354.62,1425.98,EUR,Двустаен апартамент,2024-07-28
Обеля 2,100981.43,1636.27,EUR,Двустаен апартамент,2024-07-28
Оборище,205835.36,2975.93,EUR,Двустаен апартамент,2024-07-28
Овча Купел,131617.98,1673.85,EUR,Двустаен апартамент,2024-07-28
Овча Купел 1,114984.59,1492.64,EUR,Двустаен апартамент,2024-07-28
Овча Купел 2,124321.39,1776.02,EUR,Двустаен апартамент,2024-07-28
Павлово,158898.44,1901.55,EUR,Двустаен апартамент,2024-07-28
Подуене,137999.69,1960.65,EUR,Двустаен апартамент,2024-07-28
Полигона,142004.42,1815.70,EUR,Двустаен апартамент,2024-07-28
Разсадника,159109.36,2205.48,EUR,Двустаен апартамент,2024-07-28
Редута,165350.00,2292.99,EUR,Двустаен апартамент,2024-07-28
Света Троица,142939.14,2149.46,EUR,Двустаен апартамент,2024-07-28
Свобода,117944.45,1859.02,EUR,Двустаен апартамент,2024-07-28
Сердика,153390.00,2130.42,EUR,Двустаен апартамент,2024-07-28
Симеоново,152637.88,2061.46,EUR,Двустаен апартамент,2024-07-28
Славия,118798.75,1646.17,EUR,Двустаен апартамент,2024-07-28
Слатина,172566.58,2382.97,EUR,Двустаен апартамент,2024-07-28
Стрелбище,194198.44,2660.25,EUR,Двустаен апартамент,2024-07-28
Студентски Град,126974.20,1766.95,EUR,Двустаен апартамент,2024-07-28
Суха Река,142568.30,1872.43,EUR,Двустаен апартамент,2024-07-28
Толстой,108836.95,1740.73,EUR,Двустаен апартамент,2024-07-28
Факултета,133000.00,1583.33,EUR,Двустаен апартамент,2024-07-28
Фондови Жилища,85000.00,1545.45,EUR,Двустаен апартамент,2024-07-28
Хаджи Димитър,135698.34,1978.29,EUR,Двустаен апартамент,2024-07-28
Хиподрума,225337.50,3388.53,EUR,Двустаен апартамент,2024-07-28
Хладилника,244479.89,2767.70,EUR,Двустаен апартамент,2024-07-28
Център,193516.88,2717.73,EUR,Двустаен апартамент,2024-07-28
Яворов,187800.00,2819.82,EUR,Двустаен апартамент,2024-07-28
Банишора,202341.20,2017.31,EUR,Тристаен апартамент,2024-07-28
Банкя (гр.),228656.25,1903.49,EUR,Тристаен апартамент,2024-07-28
Белите Брези,266593.75,2109.54,EUR,Тристаен апартамент,2024-07-28
Бенковски,128494.66,1476.95,EUR,Тристаен апартамент,2024-07-28
Борово,215466.23,2306.92,EUR,Тристаен апартамент,2024-07-28
Бояна,281168.31,2204.84,EUR,Тристаен апартамент,2024-07-28
Бъкстон,277383.66,2482.59,EUR,Тристаен апартамент,2024-07-28
Витоша,254794.94,2044.20,EUR,Тристаен апартамент,2024-07-28
Гео Милев,278828.72,2773.94,EUR,Тристаен апартамент,2024-07-28
Горна Баня,223121.38,1922.67,EUR,Тристаен апартамент,2024-07-28
Гоце Делчев,252980.14,2288.66,EUR,Тристаен апартамент,2024-07-28
Дианабад,297810.91,2382.49,EUR,Тристаен апартамент,2024-07-28
Драгалевци,284731.91,2198.86,EUR,Тристаен апартамент,2024-07-28
Дружба,168164.33,1827.87,EUR,Тристаен апартамент,2024-07-28
Дружба 1,201195.64,1678.69,EUR,Тристаен апартамент,2024-07-28
Дружба 2,227306.16,1839.47,EUR,Тристаен апартамент,2024-07-28
Дървеница,254748.70,2223.31,EUR,Тристаен апартамент,2024-07-28
Западен Парк,125966.66,1741.47,EUR,Тристаен апартамент,2024-07-28
Захарна Фабрика,137000.00,1723.27,EUR,Тристаен апартамент,2024-07-28
Зона Б18,214656.36,2161.82,EUR,Тристаен апартамент,2024-07-28
Зона Б19,260551.12,2374.04,EUR,Тристаен апартамент,2024-07-28
Зона Б5,268418.94,2292.87,EUR,Тристаен апартамент,2024-07-28
Иван Вазов,421500.00,3032.37,EUR,Тристаен апартамент,2024-07-28
Изгрев,338442.62,3034.95,EUR,Тристаен апартамент,2024-07-28
Изток,315092.78,3185.05,EUR,Тристаен апартамент,2024-07-28
Илинден,187679.80,2037.78,EUR,Тристаен апартамент,2024-07-28
Княжево,220733.33,1932.49,EUR,Тристаен апартамент,2024-07-28
Красна Поляна,128821.62,1479.33,EUR,Тристаен апартамент,2024-07-28
Красно Село,230646.97,1765.85,EUR,Тристаен апартамент,2024-07-28
Кръстова Вада,258684.14,2103.41,EUR,Тристаен апартамент,2024-07-28
Лагера,269378.22,17.40,EUR,Тристаен апартамент,2024-07-28
Левски,159560.09,1335.74,EUR,Тристаен апартамент,2024-07-28
Левски В,154885.06,1467.64,EUR,Тристаен апартамент,2024-07-28
Левски Г,156700.00,1768.62,EUR,Тристаен апартамент,2024-07-28
Лозенец,449972.12,3210.08,EUR,Тристаен апартамент,2024-07-28
Люлин 1,125142.86,1569.89,EUR,Тристаен апартамент,2024-07-28
Люлин 10,200416.67,1576.02,EUR,Тристаен апартамент,2024-07-28
Люлин 2,165741.81,1343.50,EUR,Тристаен апартамент,2024-07-28
Люлин 3,168466.67,1940.12,EUR,Тристаен апартамент,2024-07-28
Люлин 4,160833.33,1937.75,EUR,Тристаен апартамент,2024-07-28
Люлин 5,149162.67,1404.88,EUR,Тристаен апартамент,2024-07-28
Люлин 6,149498.50,1670.37,EUR,Тристаен апартамент,2024-07-28
Люлин 7,166950.00,2086.88,EUR,Тристаен апартамент,2024-07-28
Люлин 8,138788.95,1479.21,EUR,Тристаен апартамент,2024-07-28
Люлин 9,137174.41,1428.47,EUR,Тристаен апартамент,2024-07-28
Люлин Център,179739.19,1640.30,EUR,Тристаен апартамент,2024-07-28
м-т Гърдова глава,239023.33,2439.01,EUR,Тристаен апартамент,2024-07-28
м-т Детски град,244000.00,2392.16,EUR,Тристаен апартамент,2024-07-28
Малинова Долина,199562.94,1333.52,EUR,Тристаен апартамент,2024-07-28
Малинова долина в.з.,464500.00,2369.90,EUR,Тристаен апартамент,2024-07-28
Манастирски ливади Запад,263887.50,1887.44,EUR,Тристаен апартамент,2024-07-28
Манастирски ливади Изток,253446.28,2219.32,EUR,Тристаен апартамент,2024-07-28
Младост 1,215677.05,2239.21,EUR,Тристаен апартамент,2024-07-28
Младост 1а,257550.00,2435.46,EUR,Тристаен апартамент,2024-07-28
Младост 2,238202.42,2007.32,EUR,Тристаен апартамент,2024-07-28
Младост 3,183164.00,1936.19,EUR,Тристаен апартамент,2024-07-28
Младост 4,198781.86,1807.65,EUR,Тристаен апартамент,2024-07-28
Мусагеница,209953.33,2202.31,EUR,Тристаен апартамент,2024-07-28
Надежда 1,193999.89,1910.28,EUR,Тристаен апартамент,2024-07-28
Надежда 2,160987.73,1788.75,EUR,Тристаен апартамент,2024-07-28
Надежда 3,144778.00,1667.95,EUR,Тристаен апартамент,2024-07-28
Надежда 4,138071.83,1631.15,EUR,Тристаен апартамент,2024-07-28
Обеля,145825.00,1559.63,EUR,Тристаен апартамент,2024-07-28
Обеля 1,137411.14,1388.63,EUR,Тристаен апартамент,2024-07-28
Обеля 2,136975.00,1733.86,EUR,Тристаен апартамент,2024-07-28
Оборище,382795.62,2954.78,EUR,Тристаен апартамент,2024-07-28
Овча Купел,186787.09,1692.40,EUR,Тристаен апартамент,2024-07-28
Овча Купел 1,170791.05,1583.44,EUR,Тристаен апартамент,2024-07-28
Овча Купел 2,178620.97,1579.22,EUR,Тристаен апартамент,2024-07-28
Павлово,226261.53,1897.68,EUR,Тристаен апартамент,2024-07-28
Подуене,202206.45,1932.47,EUR,Тристаен апартамент,2024-07-28
Полигона,230692.86,1876.60,EUR,Тристаен апартамент,2024-07-28
Разсадника,198818.19,1845.57,EUR,Тристаен апартамент,2024-07-28
Редута,239568.12,2174.98,EUR,Тристаен апартамент,2024-07-28
Света Троица,177335.00,1908.88,EUR,Тристаен апартамент,2024-07-28
Свобода,137100.00,1566.86,EUR,Тристаен апартамент,2024-07-28
Сердика,255431.78,2020.11,EUR,Тристаен апартамент,2024-07-28
Симеоново,278956.25,2195.27,EUR,Тристаен апартамент,2024-07-28
Славия,197508.00,1607.39,EUR,Тристаен апартамент,2024-07-28
Слатина,156558.92,1519.99,EUR,Тристаен апартамент,2024-07-28
Стрелбище,323099.59,2734.27,EUR,Тристаен апартамент,2024-07-28
Студентски Град,202976.98,1678.87,EUR,Тристаен апартамент,2024-07-28
Суха Река,216323.27,1955.62,EUR,Тристаен апартамент,2024-07-28
Толстой,146430.59,1681.18,EUR,Тристаен апартамент,2024-07-28
Хаджи Димитър,206412.53,1951.23,EUR,Тристаен апартамент,2024-07-28
Хиподрума,280814.16,2444.90,EUR,Тристаен апартамент,2024-07-28
Хладилника,342459.75,2653.52,EUR,Тристаен апартамент,2024-07-28
Център,304702.28,2711.41,EUR,Тристаен апартамент,2024-07-28
Яворов,283216.00,2720.61,EUR,Тристаен апартамент,2024-07-28
