Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Банишора,110201.52,1710.14,EUR,Двустаен апартамент,2022-07-28
Белите Брези,148125.00,1949.01,EUR,Двустаен апартамент,2022-07-28
Борово,141912.50,2120.07,EUR,Двустаен апартамент,2022-07-28
Бояна,167608.23,1888.09,EUR,Двустаен апартамент,2022-07-28
Бъкстон,109764.43,1869.47,EUR,Двустаен апартамент,2022-07-28
Витоша,119319.46,1617.42,EUR,Двустаен апартамент,2022-07-28
Гевгелийски,72000.00,1800.00,EUR,Двустаен апартамент,2022-07-28
Гео Милев,161370.23,2377.20,EUR,Двустаен апартамент,2022-07-28
Горна Баня,150285.92,1413.03,EUR,Двустаен апартамент,2022-07-28
Гоце Делчев,150614.61,1993.88,EUR,Двустаен апартамент,2022-07-28
Дианабад,150995.72,2024.85,EUR,Двустаен апартамент,2022-07-28
Драгалевци,154739.53,1745.57,EUR,Двустаен апартамент,2022-07-28
Дружба 1,104396.60,1191.74,EUR,Двустаен апартамент,2022-07-28
Дружба 2,99776.71,1367.64,EUR,Двустаен апартамент,2022-07-28
Дървеница,111843.44,1696.11,EUR,Двустаен апартамент,2022-07-28
Западен Парк,97972.63,1613.32,EUR,Двустаен апартамент,2022-07-28
Захарна Фабрика,55000.00,1018.52,EUR,Двустаен апартамент,2022-07-28
Зона Б18,134000.00,1501.40,EUR,Двустаен апартамент,2022-07-28
Зона Б19,100920.75,1319.22,EUR,Двустаен апартамент,2022-07-28
Зона Б5,144000.00,2188.45,EUR,Двустаен апартамент,2022-07-28
Иван Вазов,228000.00,2533.33,EUR,Двустаен апартамент,2022-07-28
Изгрев,206704.55,2678.15,EUR,Двустаен апартамент,2022-07-28
Изток,184707.22,2430.36,EUR,Двустаен апартамент,2022-07-28
Илинден,93150.00,1315.06,EUR,Двустаен апартамент,2022-07-28
Княжево,142000.00,1290.91,EUR,Двустаен апартамент,2022-07-28
Красна Поляна,91906.86,1373.21,EUR,Двустаен апартамент,2022-07-28
Красно Село,116197.60,1593.93,EUR,Двустаен апартамент,2022-07-28
Кръстова Вада,126055.25,793.78,EUR,Двустаен апартамент,2022-07-28
Лагера,153838.33,1869.99,EUR,Двустаен апартамент,2022-07-28
Левски,85428.00,1203.21,EUR,Двустаен апартамент,2022-07-28
Левски В,92823.20,1329.84,EUR,Двустаен апартамент,2022-07-28
Левски Г,104000.00,2000.00,EUR,Двустаен апартамент,2022-07-28
Лозенец,192727.27,2552.05,EUR,Двустаен апартамент,2022-07-28
Люлин 1,91172.86,1302.47,EUR,Двустаен апартамент,2022-07-28
Люлин 10,110544.22,1419.26,EUR,Двустаен апартамент,2022-07-28
Люлин 2,90876.34,1405.30,EUR,Двустаен апартамент,2022-07-28
Люлин 3,102737.50,1472.94,EUR,Двустаен апартамент,2022-07-28
Люлин 4,94077.78,1444.88,EUR,Двустаен апартамент,2022-07-28
Люлин 5,74757.00,1406.72,EUR,Двустаен апартамент,2022-07-28
Люлин 6,75824.60,1166.53,EUR,Двустаен апартамент,2022-07-28
Люлин 7,73433.34,1439.87,EUR,Двустаен апартамент,2022-07-28
Люлин 8,101600.00,1551.15,EUR,Двустаен апартамент,2022-07-28
Люлин 9,93952.91,1354.50,EUR,Двустаен апартамент,2022-07-28
