Район,Едностайни - цена,Едностайни - €/кв.м,Двустайни - цена,Двустайни - €/кв.м,Тристайни - цена,Тристайни - €/кв.м,Общо - €/кв.м,Дата
7-ми 11-ти километър,NaN,NaN,145 502,1 675,189 050,1 756,1 745,6.8.2024
Банишора,48 978,1 125,104 499,1 679,139 650,1 409,1 598,6.8.2024
Белите брези,38 000,826,81 225,1 121,118 749,1 127,1 157,6.8.2024
Бенковски,NaN,NaN,70 775,1 488,111 625,1 218,1 335,6.8.2024
Борово,50 825,1 057,88 801,1 222,141 550,1 551,1 255,6.8.2024
Ботунец,14 250,309,29 640,456,47 500,601,449,6.8.2024
Ботунец 2,35 624,700,58 288,897,65 550,717,752,6.8.2024
Бояна,100 667,1 735,143 009,1 840,218 120,1 886,1 877,6.8.2024
Бъкстон,56 282,1 153,82 175,1 140,140 125,1 351,1 445,6.8.2024
Витоша,66 490,1 339,113 608,1 628,199 034,1 706,1 665,6.8.2024
Военна рампа,55 882,1 191,85 025,1 289,129 897,1 237,1 263,6.8.2024
Враждебна,71 250,950,63 745,1 066,173 961,1 402,1 340,6.8.2024
Връбница 1,38 950,828,89 015,1 615,144 495,1 488,1 512,6.8.2024
Връбница 2,46 265,984,111 094,1 481,106 257,1 142,1 425,6.8.2024
Гевгелийски,49 400,1 176,89 300,1 913,83 599,949,1 176,6.8.2024
Гео Милев,97 850,2 575,97 517,1 357,171 237,2 080,1 783,6.8.2024
Горна баня,64 600,1 957,104 975,1 424,173 951,1 620,1 615,6.8.2024
Горубляне,58 425,1 212,88 825,1 216,176 890,1 560,1 425,6.8.2024
Гоце Делчев,67 014,1 363,90 250,1 187,226 033,2 101,1 615,6.8.2024
Градина,NaN,NaN,114 285,1 628,154 137,1 330,1 480,6.8.2024
Дианабад,34 675,845,134 425,1 657,180 025,1 650,1 650,6.8.2024
Докторски паметник,NaN,NaN,318 250,4 579,365 750,3 602,3 735,6.8.2024
Драгалевци,94 050,1 844,129 026,1 997,230 565,1 919,1 954,6.8.2024
Дружба 1,56 905,1 266,100 041,1 439,135 512,1 475,1 449,6.8.2024
Дружба 2,44 650,1 009,110 912,1 593,184 556,1 602,1 622,6.8.2024
Дървеница,80 224,1 711,95 000,1 393,158 260,1 498,1 617,6.8.2024
Експериментален,49 400,1 543,110 836,1 743,80 750,950,1 653,6.8.2024
Западен парк,39 805,964,104 500,1 741,80 750,1 163,1 580,6.8.2024
Захарна фабрика,74 480,1 745,75 905,1 508,85 642,985,1 496,6.8.2024
Зона Б-18,50 825,1 140,71 250,1 140,180 499,1 773,1 491,6.8.2024
Зона Б-19,77 187,1 688,114 684,1 643,179 417,1 673,1 662,6.8.2024
Зона Б-5,44 175,920,147 155,2 094,205 200,1 955,1 974,6.8.2024
Зона Б-5-3,NaN,NaN,173 280,2 523,177 175,1 673,2 071,6.8.2024
Иван Вазов,NaN,NaN,107 350,1 336,214 700,2 143,2 618,6.8.2024
Изгрев,NaN,NaN,161 723,2 331,283 860,2 612,2 567,6.8.2024
Изток,66 500,2 501,142 500,2 253,171 000,1 757,1 926,6.8.2024
Илинден,80 749,1 764,85 500,1 425,141 550,1 862,1 701,6.8.2024
Илиянци,NaN,NaN,35 634,536,41 410,524,535,6.8.2024
Карпузица,49 499,1 235,90 250,1 466,160 550,1 471,1 467,6.8.2024
Княжево,34 865,712,68 970,863,116 850,953,933,6.8.2024
Красна поляна 1,38 000,791,63 412,1 000,78 375,992,992,6.8.2024
