Район,Цена,Цена / кв.м.,Валута,Тип Апартамент
Банишора,134653.98,1987.51,EUR,Двустаен апартамент
Банкя (гр.),131843.00,1890.84,EUR,Двустаен апартамент
Белите Брези,249900.00,2108.86,EUR,Двустаен апартамент
Бенковски,115863.50,1782.52,EUR,Двустаен апартамент
Борово,135594.22,2148.50,EUR,Двустаен апартамент
Бояна,170026.34,357.34,EUR,Двустаен апартамент
Бъкстон,140295.53,1987.52,EUR,Двустаен апартамент
Витоша,146223.45,1897.09,EUR,Двустаен апартамент
Гевгелийски,83000.00,1844.44,EUR,Двустаен апартамент
Гео Милев,194693.33,2929.19,EUR,Двустаен апартамент
Горна Баня,187999.50,1894.20,EUR,Двустаен апартамент
Гоце Делчев,156204.50,2255.66,EUR,Двустаен апартамент
Дианабад,199372.16,2403.19,EUR,Двустаен апартамент
Драгалевци,174132.61,2164.91,EUR,Двустаен апартамент
Дружба,99885.34,1664.76,EUR,Двустаен апартамент
Дружба 1,117773.17,1663.46,EUR,Двустаен апартамент
Дружба 2,139138.41,1776.07,EUR,Двустаен апартамент
Дървеница,138438.67,2049.71,EUR,Двустаен апартамент
Западен Парк,126466.66,2033.23,EUR,Двустаен апартамент
Захарна Фабрика,102160.00,1755.33,EUR,Двустаен апартамент
Зона Б18,149445.69,2237.56,EUR,Двустаен апартамент
Зона Б19,167975.00,2061.04,EUR,Двустаен апартамент
Зона Б5,180623.75,2521.80,EUR,Двустаен апартамент
Иван Вазов,341500.00,4985.40,EUR,Двустаен апартамент
Изгрев,248494.70,3485.20,EUR,Двустаен апартамент
Изток,229311.25,3241.15,EUR,Двустаен апартамент
Илинден,120422.11,1928.47,EUR,Двустаен апартамент
Княжево,141838.50,1854.10,EUR,Двустаен апартамент
Красна Поляна,104876.26,1724.75,EUR,Двустаен апартамент
Красно Село,156238.61,1986.68,EUR,Двустаен апартамент
Кръстова Вада,173593.56,2229.43,EUR,Двустаен апартамент
Лагера,187518.12,2343.98,EUR,Двустаен апартамент
Левски,108741.64,1629.96,EUR,Двустаен апартамент
Левски В,101750.89,1433.11,EUR,Двустаен апартамент
Левски Г,145000.00,2764.83,EUR,Двустаен апартамент
Лозенец,226177.34,3041.19,EUR,Двустаен апартамент
Люлин 1,98500.00,1417.27,EUR,Двустаен апартамент
Люлин 10,137920.00,1467.23,EUR,Двустаен апартамент
Люлин 2,105549.72,1537.99,EUR,Двустаен апартамент
Люлин 3,104458.34,1600.89,EUR,Двустаен апартамент
Люлин 4,127135.34,1595.84,EUR,Двустаен апартамент
Люлин 5,99524.34,1442.76,EUR,Двустаен апартамент
Люлин 6,99289.25,1555.95,EUR,Двустаен апартамент
Люлин 7,101816.66,1775.87,EUR,Двустаен апартамент
Люлин 8,108873.11,1552.87,EUR,Двустаен апартамент
Люлин 9,88328.89,1383.74,EUR,Двустаен апартамент
Люлин Център,124945.00,1548.41,EUR,Двустаен апартамент
м-т Гърдова глава,132683.00,1759.72,EUR,Двустаен апартамент
Малинова Долина,126186.80,1732.87,EUR,Двустаен апартамент
Малинова долина в.з.,115484.14,1854.10,EUR,Двустаен апартамент
Манастирски ливади Запад,179153.33,2193.71,EUR,Двустаен апартамент
Манастирски ливади Изток,174623.45,2354.32,EUR,Двустаен апартамент
Младост 1,155307.05,2081.86,EUR,Двустаен апартамент
Младост 1а,183614.28,2367.04,EUR,Двустаен апартамент
Младост 2,156045.59,2083.39,EUR,Двустаен апартамент
Младост 3,138098.11,2051.50,EUR,Двустаен апартамент
Младост 4,128117.33,1835.57,EUR,Двустаен апартамент
Мотописта,160000.00,1882.35,EUR,Двустаен апартамент
Мусагеница,157999.80,2401.21,EUR,Двустаен апартамент
Надежда 1,132884.91,1943.80,EUR,Двустаен апартамент
Надежда 2,122826.41,1729.95,EUR,Двустаен апартамент
Надежда 3,120210.00,1658.07,EUR,Двустаен апартамент
Надежда 4,102698.25,1559.41,EUR,Двустаен апартамент
Обеля,93620.00,1500.32,EUR,Двустаен апартамент
Обеля 1,101354.62,1425.98,EUR,Двустаен апартамент
Обеля 2,100981.43,1636.27,EUR,Двустаен апартамент
Оборище,205835.36,2975.93,EUR,Двустаен апартамент
Овча Купел,131617.98,1673.85,EUR,Двустаен апартамент
Овча Купел 1,114984.59,1492.64,EUR,Двустаен апартамент
Овча Купел 2,124321.39,1776.02,EUR,Двустаен апартамент
Павлово,158898.44,1901.55,EUR,Двустаен апартамент
Подуене,137999.69,1960.65,EUR,Двустаен апартамент
Полигона,142004.42,1815.70,EUR,Двустаен апартамент
Разсадника,159109.36,2205.48,EUR,Двустаен апартамент
Редута,165350.00,2292.99,EUR,Двустаен апартамент
Света Троица,142939.14,2149.46,EUR,Двустаен апартамент
Свобода,117944.45,1859.02,EUR,Двустаен апартамент
Сердика,153390.00,2130.42,EUR,Двустаен апартамент
Симеоново,152637.88,2061.46,EUR,Двустаен апартамент
Славия,118798.75,1646.17,EUR,Двустаен апартамент
Слатина,172566.58,2382.97,EUR,Двустаен апартамент
Стрелбище,194198.44,2660.25,EUR,Двустаен апартамент
Студентски Град,126974.20,1766.95,EUR,Двустаен апартамент
Суха Река,142568.30,1872.43,EUR,Двустаен апартамент
Толстой,108836.95,1740.73,EUR,Двустаен апартамент
Факултета,133000.00,1583.33,EUR,Двустаен апартамент
Фондови Жилища,85000.00,1545.45,EUR,Двустаен апартамент
Хаджи Димитър,135698.34,1978.29,EUR,Двустаен апартамент
Хиподрума,225337.50,3388.53,EUR,Двустаен апартамент
Хладилника,244479.89,2767.70,EUR,Двустаен апартамент
Център,193516.88,2717.73,EUR,Двустаен апартамент
Яворов,187800.00,2819.82,EUR,Двустаен апартамент
Банишора,202341.20,2017.31,EUR,Тристаен апартамент
Банкя (гр.),228656.25,1903.49,EUR,Тристаен апартамент
Белите Брези,266593.75,2109.54,EUR,Тристаен апартамент
Бенковски,128494.66,1476.95,EUR,Тристаен апартамент
Борово,215466.23,2306.92,EUR,Тристаен апартамент
Бояна,281168.31,2204.84,EUR,Тристаен апартамент
Бъкстон,277383.66,2482.59,EUR,Тристаен апартамент
Витоша,254794.94,2044.20,EUR,Тристаен апартамент
Гео Милев,278828.72,2773.94,EUR,Тристаен апартамент
Горна Баня,223121.38,1922.67,EUR,Тристаен апартамент
Гоце Делчев,252980.14,2288.66,EUR,Тристаен апартамент
Дианабад,297810.91,2382.49,EUR,Тристаен апартамент
Драгалевци,284731.91,2198.86,EUR,Тристаен апартамент
Дружба,168164.33,1827.87,EUR,Тристаен апартамент
Дружба 1,201195.64,1678.69,EUR,Тристаен апартамент
Дружба 2,227306.16,1839.47,EUR,Тристаен апартамент
Дървеница,254748.70,2223.31,EUR,Тристаен апартамент
Западен Парк,125966.66,1741.47,EUR,Тристаен апартамент
Захарна Фабрика,137000.00,1723.27,EUR,Тристаен апартамент
Зона Б18,214656.36,2161.82,EUR,Тристаен апартамент
Зона Б19,260551.12,2374.04,EUR,Тристаен апартамент
Зона Б5,268418.94,2292.87,EUR,Тристаен апартамент
Иван Вазов,421500.00,3032.37,EUR,Тристаен апартамент
Изгрев,338442.62,3034.95,EUR,Тристаен апартамент
Изток,315092.78,3185.05,EUR,Тристаен апартамент
Илинден,187679.80,2037.78,EUR,Тристаен апартамент
Княжево,220733.33,1932.49,EUR,Тристаен апартамент
Красна Поляна,128821.62,1479.33,EUR,Тристаен апартамент
Красно Село,230646.97,1765.85,EUR,Тристаен апартамент
Кръстова Вада,258684.14,2103.41,EUR,Тристаен апартамент
Лагера,269378.22,17.40,EUR,Тристаен апартамент
